participant, method, gaze, completion, cur_finger, prev_finger, type, duration_ms, cand_total, cand_index, time_since_1970_ms
classic,TapGazer,GS,NC,0,,tap,0.0000,0,0,1603412990147.9200
classic,TapGazer,GS,NC,u,0,tap,138.6199,0,0,1603412990287.5400
classic,TapGazer,GS,NC,t,u,tap,142.3192,0,0,1603412990429.8600
classic,TapGazer,GS,NC,n,t,selection,486.6115,2,1,1603412990916.4700
classic,TapGazer,GS,NC,t,n,tap,271.9240,0,0,1603412991188.3900
classic,TapGazer,GS,NC,q,t,tap,77.8219,0,0,1603412991266.2100
classic,TapGazer,GS,NC,3,q,tap,169.1050,0,0,1603412991436.2900
classic,TapGazer,GS,NC,n,3,selection,1015.2146,4,3,1603412992451.5000
classic,TapGazer,GS,NC,u,n,tap,216.1402,0,0,1603412992667.6400
classic,TapGazer,GS,NC,u,u,tap,290.5791,0,0,1603412992958.2200
classic,TapGazer,GS,NC,u,u,tap,231.5500,0,0,1603412993189.7700
classic,TapGazer,GS,NC,t,u,tap,305.0519,0,0,1603412993494.8200
classic,TapGazer,GS,NC,4,t,tap,100.4497,0,0,1603412993595.2700
classic,TapGazer,GS,NC,t,4,tap,99.7337,0,0,1603412993695.0100
classic,TapGazer,GS,NC,n,t,selection,579.9020,3,0,1603412994275.8700
classic,TapGazer,GS,NC,u,n,tap,468.5062,0,0,1603412994744.3800
classic,TapGazer,GS,NC,q,u,tap,443.5237,0,0,1603412995187.9000
classic,TapGazer,GS,NC,3,q,tap,126.6963,0,0,1603412995314.6000
classic,TapGazer,GS,NC,n,3,selection,432.6375,2,0,1603412995747.2400
classic,TapGazer,GS,NC,4,n,tap,282.8902,0,0,1603412996030.1300
classic,TapGazer,GS,NC,u,4,tap,90.7440,0,0,1603412996120.8700
classic,TapGazer,GS,NC,q,u,tap,98.4821,0,0,1603412996219.3500
classic,TapGazer,GS,NC,t,q,tap,121.9330,0,0,1603412996341.2800
classic,TapGazer,GS,NC,b,t,deletion,717.2260,0,0,1603412997058.5100
classic,TapGazer,GS,NC,4,b,tap,445.7169,0,0,1603412997504.2300
classic,TapGazer,GS,NC,u,4,tap,101.3762,0,0,1603412997605.6000
