participant, method, gaze, completion, cur_finger, prev_finger, type, duration_ms, cand_total, cand_index, time_since_1970_ms
zhenyi,QWERTY,,,I,,tap,0.0000,0,0,1599240182647.1800
zhenyi,QWERTY,,,N,I,tap,92.7933,0,0,1599240182740.9700
zhenyi,QWERTY,,,F,N,tap,124.6735,0,0,1599240182865.6500
zhenyi,QWERTY,,,O,F,tap,92.8295,0,0,1599240182958.4800
zhenyi,QWERTY,,,R,O,tap,156.1036,0,0,1599240183114.5800
zhenyi,QWERTY,,,M,R,tap,188.0777,0,0,1599240183302.6600
zhenyi,QWERTY,,,A,M,tap,29.8879,0,0,1599240183332.5500
zhenyi,QWERTY,,,T,A,tap,126.0120,0,0,1599240183458.5600
zhenyi,QWERTY,,,I,T,tap,123.6745,0,0,1599240183582.2300
zhenyi,QWERTY,,,O,I,tap,61.9228,0,0,1599240183644.1600
zhenyi,QWERTY,,,N,O,tap,62.7003,0,0,1599240183706.8600
zhenyi,QWERTY,,,space,N,tap,124.3616,0,0,1599240183831.2200
zhenyi,QWERTY,,,S,space,tap,155.7042,0,0,1599240183986.9200
zhenyi,QWERTY,,,U,S,tap,62.6373,0,0,1599240184049.5600
zhenyi,QWERTY,,,P,U,tap,92.8695,0,0,1599240184142.4300
zhenyi,QWERTY,,,E,P,tap,66.8154,0,0,1599240184209.2400
zhenyi,QWERTY,,,R,E,tap,93.7530,0,0,1599240184303.0000
zhenyi,QWERTY,,,space,R,tap,93.7461,0,0,1599240184396.7400
zhenyi,QWERTY,,,G,space,tap,185.8619,0,0,1599240184582.6100
zhenyi,QWERTY,,,H,G,tap,125.1638,0,0,1599240184707.7700
zhenyi,QWERTY,,,I,H,tap,93.0372,0,0,1599240184801.8200
zhenyi,QWERTY,,,backspace,I,tap,466.1006,0,0,1599240185267.9200
zhenyi,QWERTY,,,backspace,backspace,tap,125.7240,0,0,1599240185393.6400
zhenyi,QWERTY,,,backspace,backspace,tap,155.1902,0,0,1599240185548.8300
zhenyi,QWERTY,,,H,backspace,tap,373.8332,0,0,1599240185922.6700
zhenyi,QWERTY,,,I,H,tap,61.8849,0,0,1599240185984.5500
zhenyi,QWERTY,,,G,I,tap,93.6689,0,0,1599240186078.2200
zhenyi,QWERTY,,,H,G,tap,94.5070,0,0,1599240186172.7300
zhenyi,QWERTY,,,W,H,tap,92.7838,0,0,1599240186265.5100
zhenyi,QWERTY,,,A,W,tap,92.7198,0,0,1599240186358.2300
zhenyi,QWERTY,,,Y,A,tap,93.8285,0,0,1599240186452.0600
zhenyi,QWERTY,,,space,Y,tap,217.6966,0,0,1599240186669.7600
zhenyi,QWERTY,,,M,,tap,0.0000,0,0,1599240187261.9900
zhenyi,QWERTY,,,Y,M,tap,155.3313,0,0,1599240187417.3200
zhenyi,QWERTY,,,space,Y,tap,94.3237,0,0,1599240187511.6500
zhenyi,QWERTY,,,F,space,tap,124.0269,0,0,1599240187635.6700
zhenyi,QWERTY,,,A,F,tap,125.4078,0,0,1599240187761.0800
zhenyi,QWERTY,,,V,A,tap,216.9641,0,0,1599240187978.0400
zhenyi,QWERTY,,,O,V,tap,124.8468,0,0,1599240188102.8900
zhenyi,QWERTY,,,R,O,tap,124.3483,0,0,1599240188227.2400
zhenyi,QWERTY,,,I,R,tap,124.7353,0,0,1599240188351.9800
zhenyi,QWERTY,,,T,I,tap,93.7205,0,0,1599240188445.7000
zhenyi,QWERTY,,,E,T,tap,93.7455,0,0,1599240188539.4400
zhenyi,QWERTY,,,space,E,tap,155.6496,0,0,1599240188695.0900
zhenyi,QWERTY,,,W,space,tap,186.6219,0,0,1599240188881.7100
zhenyi,QWERTY,,,E,W,tap,93.2557,0,0,1599240188974.9700
zhenyi,QWERTY,,,B,E,tap,187.6145,0,0,1599240189162.5800
zhenyi,QWERTY,,,space,B,tap,186.6733,0,0,1599240189349.2600
zhenyi,QWERTY,,,B,space,tap,186.6418,0,0,1599240189535.9000
zhenyi,QWERTY,,,V,B,tap,1.0235,0,0,1599240189536.9200
zhenyi,QWERTY,,,backspace,V,tap,622.2441,0,0,1599240190159.1700
zhenyi,QWERTY,,,R,backspace,tap,248.9300,0,0,1599240190408.1000
zhenyi,QWERTY,,,O,R,tap,155.7523,0,0,1599240190563.8500
zhenyi,QWERTY,,,W,O,tap,155.8088,0,0,1599240190719.6600
zhenyi,QWERTY,,,S,W,tap,186.5063,0,0,1599240190906.1600
zhenyi,QWERTY,,,E,S,tap,156.5758,0,0,1599240191062.7400
zhenyi,QWERTY,,,R,E,tap,93.7494,0,0,1599240191156.4900
zhenyi,QWERTY,,,space,R,tap,98.8700,0,0,1599240191255.3600
zhenyi,QWERTY,,,T,,tap,0.0000,0,0,1599240191847.0400
zhenyi,QWERTY,,,H,T,tap,94.5657,0,0,1599240191941.6100
zhenyi,QWERTY,,,E,H,tap,93.3247,0,0,1599240192034.9300
zhenyi,QWERTY,,,space,E,tap,92.9828,0,0,1599240192127.9200
zhenyi,QWERTY,,,L,space,tap,155.7809,0,0,1599240192283.7000
zhenyi,QWERTY,,,A,L,tap,62.4857,0,0,1599240192346.1800
zhenyi,QWERTY,,,S,A,tap,92.5298,0,0,1599240192439.7100
zhenyi,QWERTY,,,E,S,tap,93.0429,0,0,1599240192532.7500
zhenyi,QWERTY,,,R,E,tap,125.0612,0,0,1599240192657.8100
zhenyi,QWERTY,,,space,R,tap,217.8886,0,0,1599240192875.7000
zhenyi,QWERTY,,,P,space,tap,248.8047,0,0,1599240193124.5100
zhenyi,QWERTY,,,R,P,tap,62.5127,0,0,1599240193187.0200
zhenyi,QWERTY,,,I,R,tap,124.3194,0,0,1599240193311.3400
zhenyi,QWERTY,,,N,I,tap,31.9145,0,0,1599240193343.2500
zhenyi,QWERTY,,,T,N,tap,60.8249,0,0,1599240193405.0800
zhenyi,QWERTY,,,E,T,tap,93.7539,0,0,1599240193498.8300
zhenyi,QWERTY,,,R,E,tap,93.7448,0,0,1599240193592.5800
zhenyi,QWERTY,,,space,R,tap,93.4084,0,0,1599240193685.9800
zhenyi,QWERTY,,,I,space,tap,124.3279,0,0,1599240193810.3100
zhenyi,QWERTY,,,S,I,tap,124.6975,0,0,1599240193935.0100
zhenyi,QWERTY,,,space,S,tap,61.8332,0,0,1599240193996.8400
zhenyi,QWERTY,,,J,space,tap,93.8664,0,0,1599240194090.7100
zhenyi,QWERTY,,,A,J,tap,93.4193,0,0,1599240194184.1300
zhenyi,QWERTY,,,M,A,tap,124.9756,0,0,1599240194309.1000
zhenyi,QWERTY,,,M,M,tap,124.6238,0,0,1599240194433.7300
zhenyi,QWERTY,,,E,M,tap,123.8058,0,0,1599240194557.5300
zhenyi,QWERTY,,,D,E,tap,155.7178,0,0,1599240194713.2500
zhenyi,QWERTY,,,space,D,tap,249.4090,0,0,1599240194962.6600
